FIPS,ZONE_CODE,AREA
17031010100,1,53603.00000000000
17031010201,2,142955.00000000000
17031010202,3,71711.00000000000
17031010300,4,124167.00000000000
17031010400,5,117198.00000000000
17031010501,6,42702.00000000000
17031010502,7,36335.00000000000
17031010503,8,36728.00000000000
17031010600,9,141037.00000000000
17031010701,10,179626.00000000000
17031010702,11,57754.00000000000
17031020100,12,95590.00000000000
17031020200,13,347969.00000000000
17031020301,14,189989.00000000000
17031020302,15,186589.00000000000
17031020400,16,187187.00000000000
17031020500,17,220757.00000000000
17031020601,18,149736.00000000000
17031020602,19,124451.00000000000
17031020701,20,181518.00000000000
17031020702,21,155837.00000000000
17031020801,22,142477.00000000000
17031020802,23,147095.00000000000
17031020901,24,75055.00000000000
17031020902,25,92814.00000000000
17031030101,26,16240.00000000000
17031030102,27,7539.00000000000
17031030103,28,10750.00000000000
17031030104,29,9309.00000000000
17031030200,30,164503.00000000000
17031030300,31,85215.00000000000
17031030400,32,74334.00000000000
17031030500,33,137889.00000000000
17031030601,34,15945.00000000000
17031030603,35,13362.00000000000
17031030604,36,17766.00000000000
17031030701,37,6409.00000000000
17031030702,38,305.00000000000
17031030703,39,24788.00000000000
17031030706,40,61574.00000000000
17031030800,41,155415.00000000000
17031030900,42,83561.00000000000
17031031000,43,83952.00000000000
17031031100,44,109057.00000000000
17031031200,45,25286.00000000000
17031031300,46,135644.00000000000
17031031400,47,274768.00000000000
17031031501,48,17646.00000000000
17031031502,49,16265.00000000000
17031031700,50,106018.00000000000
17031031800,51,42076.00000000000
17031031900,52,56822.00000000000
17031032100,53,66226.00000000000
17031040100,54,703966.00000000000
17031040201,55,131723.00000000000
17031040202,56,110113.00000000000
17031040300,57,268566.00000000000
17031040401,58,95340.00000000000
17031040402,59,137627.00000000000
17031040600,60,80244.00000000000
17031040700,61,91145.00000000000
17031040800,62,62930.00000000000
17031040900,63,99343.00000000000
17031050100,64,57953.00000000000
17031050200,65,157228.00000000000
17031050300,66,92041.00000000000
17031050500,67,164700.00000000000
17031050600,68,73878.00000000000
17031050700,69,49666.00000000000
17031050800,70,42460.00000000000
17031050900,71,37479.00000000000
17031051000,72,35941.00000000000
17031051100,73,43194.00000000000
17031051200,74,46522.00000000000
17031051300,75,82744.00000000000
17031051400,76,100063.00000000000
17031060100,77,99811.00000000000
17031060200,78,83718.00000000000
17031060300,79,88602.00000000000
17031060400,80,77811.00000000000
17031060500,81,76546.00000000000
17031060800,82,31579.00000000000
17031060900,83,104992.00000000000
17031061000,84,25991.00000000000
17031061100,85,19224.00000000000
17031061200,86,30045.00000000000
17031061500,87,32855.00000000000
17031061800,88,14629.00000000000
17031061901,89,30890.00000000000
17031061902,90,59344.00000000000
17031062000,91,43408.00000000000
17031062100,92,27143.00000000000
17031062200,93,44339.00000000000
17031062300,94,32349.00000000000
17031062400,95,35188.00000000000
17031062500,96,27938.00000000000
17031062600,97,46745.00000000000
17031062700,98,59724.00000000000
17031062800,99,64843.00000000000
17031062900,100,85216.00000000000
17031063000,101,44690.00000000000
17031063100,102,23254.00000000000
17031063200,103,74737.00000000000
17031063301,104,15390.00000000000
17031063302,105,19993.00000000000
17031063303,106,60052.00000000000
17031063400,107,18484.00000000000
17031070101,108,160928.00000000000
17031070102,109,13774.00000000000
17031070103,110,14401.00000000000
17031070200,111,67123.00000000000
17031070300,112,65622.00000000000
17031070400,113,79003.00000000000
17031070500,114,65588.00000000000
17031070600,115,67154.00000000000
17031070700,116,74982.00000000000
17031071000,117,73951.00000000000
17031071100,118,92126.00000000000
17031071200,119,82976.00000000000
17031071300,120,86850.00000000000
17031071400,121,186268.00000000000
17031071500,122,207655.00000000000
17031071600,123,51114.00000000000
17031071700,124,47925.00000000000
17031071800,125,81625.00000000000
17031080100,126,47019.00000000000
17031080201,127,27185.00000000000
17031080202,128,26739.00000000000
17031080300,129,51748.00000000000
17031080400,130,45183.00000000000
17031081000,131,53559.00000000000
17031081100,132,7918.00000000000
17031081201,133,12052.00000000000
17031081202,134,36174.00000000000
17031081300,135,25235.00000000000
17031081401,136,24502.00000000000
17031081402,137,60742.00000000000
17031081403,138,15298.00000000000
17031081500,139,12447.00000000000
17031081600,140,4755.00000000000
17031081700,141,14671.00000000000
17031081800,142,25269.00000000000
17031081900,143,19197.00000000000
17031090100,144,211076.00000000000
17031090200,145,475594.00000000000
17031090300,146,134913.00000000000
17031100100,147,273167.00000000000
17031100200,148,678346.00000000000
17031100300,149,791026.00000000000
17031100400,150,234046.00000000000
17031100500,151,414655.00000000000
17031100600,152,266268.00000000000
17031100700,153,264277.00000000000
17031110100,154,630805.00000000000
17031110200,155,85254.00000000000
17031110300,156,224494.00000000000
17031110400,157,185384.00000000000
17031110501,158,189555.00000000000
17031110502,159,121723.00000000000
17031120100,160,1765443.00000000000
17031120200,161,1128492.00000000000
17031120300,162,710980.00000000000
17031120400,163,411463.00000000000
17031130100,164,685081.00000000000
17031130200,165,860265.00000000000
17031130300,166,220749.00000000000
17031140100,167,67178.00000000000
17031140200,168,81456.00000000000
17031140301,169,35770.00000000000
17031140302,170,126664.00000000000
17031140400,171,272113.00000000000
17031140500,172,94486.00000000000
17031140601,173,69324.00000000000
17031140602,174,93523.00000000000
17031140701,175,32005.00000000000
17031140702,176,104712.00000000000
17031140800,177,210373.00000000000
17031150200,178,307785.00000000000
17031150300,179,323301.00000000000
17031150401,180,153100.00000000000
17031150402,181,126128.00000000000
17031150501,182,165506.00000000000
17031150502,183,157999.00000000000
17031150600,184,178371.00000000000
17031150700,185,133468.00000000000
17031150800,186,124105.00000000000
17031151001,187,61398.00000000000
17031151002,188,100666.00000000000
17031151100,189,111965.00000000000
17031151200,190,87327.00000000000
17031160100,191,170275.00000000000
17031160200,192,203413.00000000000
17031160300,193,109527.00000000000
17031160400,194,193251.00000000000
17031160501,195,79848.00000000000
17031160502,196,76618.00000000000
17031160601,197,76225.00000000000
17031160602,198,164949.00000000000
17031160700,199,182796.00000000000
17031160800,200,134116.00000000000
17031160900,201,197997.00000000000
17031161000,202,118828.00000000000
17031161100,203,163979.00000000000
17031161200,204,98309.00000000000
17031161300,205,96456.00000000000
17031170100,206,126224.00000000000
17031170200,207,142122.00000000000
17031170300,208,322362.00000000000
17031170400,209,147421.00000000000
17031170500,210,349567.00000000000
17031170600,211,133602.00000000000
17031170700,212,109637.00000000000
17031170800,213,148892.00000000000
17031170900,214,68748.00000000000
17031171000,215,313781.00000000000
17031171100,216,119381.00000000000
17031180100,217,222822.00000000000
17031190100,218,46083.00000000000
17031190200,219,110160.00000000000
17031190300,220,100146.00000000000
17031190401,221,92300.00000000000
17031190402,222,103930.00000000000
17031190601,223,163117.00000000000
17031190602,224,115817.00000000000
17031190701,225,40014.00000000000
17031190702,226,69225.00000000000
17031190800,227,99144.00000000000
17031190900,228,55641.00000000000
17031191000,229,51492.00000000000
17031191100,230,154761.00000000000
17031191200,231,68784.00000000000
17031191301,232,96655.00000000000
17031191302,233,79494.00000000000
17031200100,234,110888.00000000000
17031200200,235,142498.00000000000
17031200300,236,38835.00000000000
17031200401,237,75340.00000000000
17031200402,238,60801.00000000000
17031210100,239,111252.00000000000
17031210400,240,47475.00000000000
17031210501,241,49038.00000000000
17031210502,242,57436.00000000000
17031210601,243,50021.00000000000
17031210602,244,52887.00000000000
17031210700,245,85475.00000000000
17031210800,246,23522.00000000000
17031210900,247,72768.00000000000
17031220300,248,80218.00000000000
17031220400,249,77889.00000000000
17031220500,250,68756.00000000000
17031220601,251,39546.00000000000
17031220602,252,92327.00000000000
17031220701,253,43943.00000000000
17031220702,254,89614.00000000000
17031220901,255,48647.00000000000
17031220902,256,55202.00000000000
17031221000,257,39340.00000000000
17031221100,258,98285.00000000000
17031221200,259,92386.00000000000
17031221300,260,71960.00000000000
17031221400,261,59433.00000000000
17031221500,262,76111.00000000000
17031221600,263,76687.00000000000
17031222200,264,47406.00000000000
17031222500,265,35536.00000000000
17031222600,266,42256.00000000000
17031222700,267,51614.00000000000
17031222800,268,22397.00000000000
17031222900,269,31842.00000000000
17031230100,270,36950.00000000000
17031230200,271,40514.00000000000
17031230300,272,25631.00000000000
17031230400,273,49197.00000000000
17031230500,274,63612.00000000000
17031230600,275,108552.00000000000
17031230700,276,124168.00000000000
17031230800,277,26979.00000000000
17031230900,278,67639.00000000000
17031231100,279,36358.00000000000
17031231200,280,175106.00000000000
17031231500,281,271476.00000000000
17031240200,282,30926.00000000000
17031240300,283,30162.00000000000
17031240500,284,40477.00000000000
17031240600,285,28834.00000000000
17031240700,286,30490.00000000000
17031240800,287,35315.00000000000
17031240900,288,286230.00000000000
17031241000,289,32390.00000000000
17031241100,290,72935.00000000000
17031241200,291,62750.00000000000
17031241300,292,51337.00000000000
17031241400,293,106512.00000000000
17031241500,294,23793.00000000000
17031241600,295,21490.00000000000
17031242000,296,25679.00000000000
17031242100,297,34491.00000000000
17031242200,298,60595.00000000000
17031242300,299,65108.00000000000
17031242400,300,51712.00000000000
17031242500,301,47646.00000000000
17031242600,302,79403.00000000000
17031242700,303,28944.00000000000
17031242800,304,52024.00000000000
17031242900,305,44886.00000000000
17031243000,306,34613.00000000000
17031243100,307,36848.00000000000
17031243200,308,37941.00000000000
17031243300,309,26850.00000000000
17031243400,310,24871.00000000000
17031243500,311,49752.00000000000
17031250200,312,88892.00000000000
17031250300,313,121147.00000000000
17031250400,314,234898.00000000000
17031250500,315,477961.00000000000
17031250600,316,124635.00000000000
17031250700,317,136177.00000000000
17031250800,318,115638.00000000000
17031251000,319,53742.00000000000
17031251100,320,117969.00000000000
17031251200,321,203881.00000000000
17031251300,322,179511.00000000000
17031251400,323,192544.00000000000
17031251500,324,219002.00000000000
17031251600,325,148602.00000000000
17031251700,326,105294.00000000000
17031251800,327,171855.00000000000
17031251900,328,147089.00000000000
17031252000,329,155214.00000000000
17031252101,330,245657.00000000000
17031252102,331,123316.00000000000
17031252201,332,83624.00000000000
17031252202,333,119859.00000000000
17031260100,334,37789.00000000000
17031260200,335,51237.00000000000
17031260300,336,60957.00000000000
17031260400,337,44874.00000000000
17031260500,338,58126.00000000000
17031260600,339,63310.00000000000
17031260700,340,72805.00000000000
17031260800,341,50791.00000000000
17031260900,342,45340.00000000000
17031261000,343,105648.00000000000
17031270500,344,161655.00000000000
17031271200,345,50001.00000000000
17031271300,346,38043.00000000000
17031271400,347,44160.00000000000
17031271500,348,31129.00000000000
17031271800,349,45112.00000000000
17031280100,350,16327.00000000000
17031280400,351,24315.00000000000
17031280800,352,25950.00000000000
17031280900,353,12984.00000000000
17031281900,354,18743.00000000000
17031282700,355,33235.00000000000
17031282800,356,26872.00000000000
17031283100,357,51083.00000000000
17031283200,358,54951.00000000000
17031283800,359,37806.00000000000
17031290900,360,174147.00000000000
17031291200,361,45911.00000000000
17031291600,362,26068.00000000000
17031292200,363,73711.00000000000
17031292400,364,51847.00000000000
17031292500,365,104669.00000000000
17031300500,366,51361.00000000000
17031300600,367,73319.00000000000
17031300700,368,73098.00000000000
17031300800,369,54132.00000000000
17031300900,370,52394.00000000000
17031301100,371,43698.00000000000
17031301200,372,79711.00000000000
17031301600,373,71322.00000000000
17031301701,374,60583.00000000000
17031301702,375,76784.00000000000
17031301801,376,89703.00000000000
17031301802,377,70585.00000000000
17031301803,378,74035.00000000000
17031310200,379,32993.00000000000
17031310300,380,33008.00000000000
17031310400,381,8440.00000000000
17031310500,382,18433.00000000000
17031310600,383,31998.00000000000
17031310700,384,8943.00000000000
17031310800,385,30513.00000000000
17031310900,386,57634.00000000000
17031320100,387,107367.00000000000
17031320400,388,146027.00000000000
17031320600,389,73015.00000000000
17031330100,390,193573.00000000000
17031330200,391,103941.00000000000
17031340300,392,22249.00000000000
17031340400,393,20367.00000000000
17031340500,394,48283.00000000000
17031340600,395,31142.00000000000
17031350100,396,104983.00000000000
17031350400,397,36708.00000000000
17031351000,398,225789.00000000000
17031351100,399,51348.00000000000
17031351400,400,49050.00000000000
17031351500,401,11084.00000000000
17031360200,402,28838.00000000000
17031380100,403,83136.00000000000
17031380200,404,44358.00000000000
17031380500,405,39408.00000000000
17031380700,406,36991.00000000000
17031381200,407,37147.00000000000
17031381400,408,36055.00000000000
17031381500,409,10549.00000000000
17031381700,410,18967.00000000000
17031381800,411,51564.00000000000
17031381900,412,20209.00000000000
17031390100,413,92481.00000000000
17031390200,414,52676.00000000000
17031390300,415,53587.00000000000
17031390400,416,78476.00000000000
17031390500,417,135370.00000000000
17031390600,418,127791.00000000000
17031390700,419,133860.00000000000
17031400300,420,360315.00000000000
17031400400,421,35844.00000000000
17031400500,422,48023.00000000000
17031400800,423,50129.00000000000
17031410100,424,52968.00000000000
17031410200,425,22640.00000000000
17031410500,426,50536.00000000000
17031410600,427,83152.00000000000
17031410700,428,80492.00000000000
17031410800,429,57098.00000000000
17031410900,430,93225.00000000000
17031411000,431,195066.00000000000
17031411100,432,90810.00000000000
17031411200,433,121005.00000000000
17031420100,434,205972.00000000000
17031420200,435,37725.00000000000
17031420300,436,36680.00000000000
17031420400,437,34360.00000000000
17031420500,438,38695.00000000000
17031420600,439,40526.00000000000
17031420700,440,147177.00000000000
17031420800,441,50073.00000000000
17031421200,442,62787.00000000000
17031430101,443,50165.00000000000
17031430102,444,99217.00000000000
17031430200,445,190226.00000000000
17031430300,446,79860.00000000000
17031430400,447,118535.00000000000
17031430500,448,56151.00000000000
17031430600,449,76568.00000000000
17031430700,450,28986.00000000000
17031430800,451,76478.00000000000
17031430900,452,78776.00000000000
17031431200,453,179158.00000000000
17031431301,454,97696.00000000000
17031431302,455,83620.00000000000
17031431400,456,216132.00000000000
17031440101,457,70611.00000000000
17031440102,458,150931.00000000000
17031440201,459,93128.00000000000
17031440202,460,202583.00000000000
17031440300,461,301200.00000000000
17031440600,462,141565.00000000000
17031440700,463,65582.00000000000
17031440800,464,59500.00000000000
17031440900,465,185400.00000000000
17031450300,466,228971.00000000000
17031460100,467,230030.00000000000
17031460200,468,149667.00000000000
17031460301,469,127657.00000000000
17031460302,470,176049.00000000000
17031460400,471,163286.00000000000
17031460500,472,351368.00000000000
17031460600,473,59526.00000000000
17031460700,474,95664.00000000000
17031461000,475,35727.00000000000
17031470100,476,342843.00000000000
17031480100,477,131602.00000000000
17031480200,478,55430.00000000000
17031480300,479,103034.00000000000
17031480400,480,331498.00000000000
17031480500,481,246241.00000000000
17031490300,482,133496.00000000000
17031490400,483,50254.00000000000
17031490500,484,245332.00000000000
17031490600,485,98859.00000000000
17031490700,486,155813.00000000000
17031490800,487,173918.00000000000
17031490901,488,153573.00000000000
17031490902,489,254380.00000000000
17031491000,490,357403.00000000000
17031491100,491,314941.00000000000
17031491200,492,164162.00000000000
17031491300,493,186807.00000000000
17031491400,494,157718.00000000000
17031500100,495,410930.00000000000
17031500200,496,337329.00000000000
17031500300,497,127549.00000000000
17031510100,498,261840.00000000000
17031510200,499,310924.00000000000
17031510300,500,784148.00000000000
17031520100,501,389497.00000000000
17031520200,502,117179.00000000000
17031520300,503,166234.00000000000
17031520400,504,111231.00000000000
17031520500,505,183960.00000000000
17031520600,506,193902.00000000000
17031530100,507,133106.00000000000
17031530200,508,441076.00000000000
17031530300,509,339320.00000000000
17031530400,510,237876.00000000000
17031530501,511,418835.00000000000
17031530502,512,238390.00000000000
17031530503,513,481374.00000000000
17031530600,514,241126.00000000000
17031540101,515,1157475.00000000000
17031540102,516,659267.00000000000
17031550100,517,1615755.00000000000
17031550200,518,814494.00000000000
17031560100,519,92440.00000000000
17031560200,520,180574.00000000000
17031560300,521,121986.00000000000
17031560400,522,40734.00000000000
17031560700,523,67347.00000000000
17031560800,524,188913.00000000000
17031560900,525,262632.00000000000
17031561000,526,221594.00000000000
17031561100,527,207971.00000000000
17031570100,528,57773.00000000000
17031570200,529,112033.00000000000
17031570300,530,119886.00000000000
17031570400,531,54642.00000000000
17031570500,532,48982.00000000000
17031580100,533,77218.00000000000
17031580200,534,93260.00000000000
17031580300,535,53924.00000000000
17031580400,536,75251.00000000000
17031580501,537,74411.00000000000
17031580502,538,82810.00000000000
17031580600,539,77748.00000000000
17031580700,540,108739.00000000000
17031580800,541,31295.00000000000
17031590500,542,161520.00000000000
17031590600,543,66110.00000000000
17031590700,544,67204.00000000000
17031600400,545,36396.00000000000
17031600600,546,41449.00000000000
17031600700,547,32538.00000000000
17031600900,548,37928.00000000000
17031610300,549,155350.00000000000
17031610400,550,15868.00000000000
17031610800,551,51096.00000000000
17031611000,552,123243.00000000000
17031611100,553,93666.00000000000
17031611200,554,84882.00000000000
17031611300,555,62575.00000000000
17031611400,556,61590.00000000000
17031611500,557,69487.00000000000
17031611600,558,84020.00000000000
17031611700,559,99246.00000000000
17031611800,560,77390.00000000000
17031611900,561,212048.00000000000
17031612000,562,114979.00000000000
17031612100,563,113732.00000000000
17031620100,564,114598.00000000000
17031620200,565,70880.00000000000
17031620300,566,150350.00000000000
17031620400,567,86405.00000000000
17031630100,568,80196.00000000000
17031630200,569,51773.00000000000
17031630300,570,119749.00000000000
17031630400,571,100034.00000000000
17031630500,572,111615.00000000000
17031630800,573,79562.00000000000
17031630900,574,102119.00000000000
17031640100,575,35911.00000000000
17031640300,576,175559.00000000000
17031640400,577,122521.00000000000
17031640500,578,74110.00000000000
17031640600,579,57773.00000000000
17031640700,580,101161.00000000000
17031640800,581,36238.00000000000
17031650100,582,108944.00000000000
17031650200,583,146509.00000000000
17031650301,584,148626.00000000000
17031650302,585,116532.00000000000
17031650400,586,146072.00000000000
17031650500,587,153463.00000000000
17031660301,588,21489.00000000000
17031660302,589,73795.00000000000
17031660400,590,112396.00000000000
17031660500,591,148918.00000000000
17031660600,592,120159.00000000000
17031660700,593,106077.00000000000
17031660800,594,116496.00000000000
17031660900,595,467055.00000000000
17031661000,596,215055.00000000000
17031661100,597,199025.00000000000
17031670100,598,106764.00000000000
17031670200,599,95650.00000000000
17031670300,600,103737.00000000000
17031670400,601,96257.00000000000
17031670500,602,109337.00000000000
17031670600,603,112079.00000000000
17031670700,604,105402.00000000000
17031670800,605,70003.00000000000
17031670900,606,81392.00000000000
17031671100,607,58548.00000000000
17031671200,608,61115.00000000000
17031671300,609,134833.00000000000
17031671400,610,146554.00000000000
17031671500,611,171918.00000000000
17031671600,612,97379.00000000000
17031671800,613,76209.00000000000
17031671900,614,56628.00000000000
17031672000,615,236832.00000000000
17031680500,616,115878.00000000000
17031680600,617,91666.00000000000
17031680900,618,173979.00000000000
17031681000,619,147546.00000000000
17031681100,620,143432.00000000000
17031681200,621,193368.00000000000
17031681300,622,192552.00000000000
17031681400,623,147340.00000000000
17031690300,624,67600.00000000000
17031690400,625,133292.00000000000
17031690500,626,33976.00000000000
17031690900,627,133473.00000000000
17031691000,628,156364.00000000000
17031691100,629,117654.00000000000
17031691200,630,146847.00000000000
17031691300,631,164864.00000000000
17031691400,632,143996.00000000000
17031691500,633,161212.00000000000
17031700100,634,173406.00000000000
17031700200,635,184213.00000000000
17031700301,636,185404.00000000000
17031700302,637,163141.00000000000
17031700401,638,296354.00000000000
17031700402,639,231608.00000000000
17031700501,640,347105.00000000000
17031700502,641,479653.00000000000
17031710100,642,43586.00000000000
17031710200,643,152093.00000000000
17031710300,644,53525.00000000000
17031710400,645,213283.00000000000
17031710500,646,104958.00000000000
17031710600,647,37482.00000000000
17031710700,648,67304.00000000000
17031710800,649,121246.00000000000
17031710900,650,178831.00000000000
17031711000,651,155750.00000000000
17031711100,652,117222.00000000000
17031711200,653,216111.00000000000
17031711300,654,74863.00000000000
17031711400,655,145160.00000000000
17031711500,656,155824.00000000000
17031720100,657,1037471.00000000000
17031720200,658,806117.00000000000
17031720300,659,490186.00000000000
17031720400,660,191091.00000000000
17031720500,661,348267.00000000000
17031720600,662,245855.00000000000
17031720700,663,523700.00000000000
17031730100,664,136178.00000000000
17031730201,665,205545.00000000000
17031730202,666,142272.00000000000
17031730300,667,49971.00000000000
17031730400,668,330915.00000000000
17031730500,669,300658.00000000000
17031730600,670,255326.00000000000
17031730700,671,240403.00000000000
